Cidade,area,quartos,banheiro,estacionamento,animais,Valor do Aluguel,Iptu,Seguranca Incendio,total
Sao Paulo,70,2,1,1,acept,3300,211,42,3553
Sao Paulo,320,4,4,0,acept,4960,1750,63,6773
Porto Alegre,80,1,1,1,acept,2800,0,41,2841
Porto Alegre,51,2,1,0,acept,1112,22,17,1151
Sao Paulo,25,1,1,0,not acept,800,25,11,836
Sao Paulo,376,3,3,7,acept,8000,834,121,8955
Rio de Janeiro,72,2,1,0,acept,1900,85,25,2010
Sao Paulo,213,4,4,4,acept,3223,1735,41,4999
Sao Paulo,152,2,2,1,acept,15000,250,191,15441
Rio de Janeiro,35,1,1,0,acept,2300,35,30,2365
Sao Paulo,26,1,1,0,acept,2100,150,27,2277
Campinas,46,1,1,1,acept,580,43,8,631
Sao Paulo,36,1,1,0,acept,2100,70,27,2197
Sao Paulo,55,1,1,1,acept,4200,224,54,4478
Sao Paulo,100,2,2,2,acept,4370,17,56,4443
Campinas,330,4,6,6,acept,8000,328,121,8449
Sao Paulo,110,2,2,1,acept,3000,122,39,3161
Rio de Janeiro,88,2,3,1,not acept,3500,221,16,3737
Rio de Janeiro,56,2,1,0,acept,1220,0,16,1236
Sao Paulo,600,4,5,6,acept,12000,9500,181,21681
Sao Paulo,100,7,4,0,acept,3800,118,58,3976
Belo Horizonte,42,1,1,1,not acept,2690,172,36,2898
Sao Paulo,160,3,2,2,acept,1900,167,25,2092
Sao Paulo,35,1,1,0,acept,1100,3,14,1117
Rio de Janeiro,90,3,2,1,acept,1800,118,24,1942
Sao Paulo,49,1,1,1,acept,3500,42,45,3587
Sao Paulo,41,1,1,1,not acept,3000,0,39,3039
Belo Horizonte,64,2,2,1,acept,1500,80,20,1600
Campinas,208,3,2,4,acept,3180,100,48,3328
Sao Paulo,20,1,1,0,acept,1800,130,23,1953
Sao Paulo,55,2,2,2,acept,1068,142,14,1224
Sao Paulo,32,1,1,0,acept,1700,29,22,1751
Sao Paulo,80,2,2,1,acept,2550,216,33,2799
Rio de Janeiro,45,1,1,1,acept,2500,593,33,3126
Sao Paulo,350,4,4,3,acept,4000,500,51,4551
Porto Alegre,38,1,1,2,not acept,1750,0,26,1776
Sao Paulo,30,1,1,0,acept,1600,0,21,1621
Belo Horizonte,80,3,2,1,acept,11000,425,181,11606
Sao Paulo,70,2,1,0,not acept,1150,59,18,1227
Porto Alegre,40,1,1,1,acept,2990,0,44,3034
Sao Paulo,300,4,6,4,acept,12000,1584,153,13737
Sao Paulo,240,3,2,3,acept,3500,292,53,3845
Belo Horizonte,200,4,2,1,not acept,2550,9,34,2593
Belo Horizonte,45,1,1,1,acept,1631,192,12,1835
Sao Paulo,360,4,5,0,acept,6410,2000,82,8492
Sao Paulo,40,1,1,1,acept,2829,0,33,2862
Belo Horizonte,100,3,1,0,not acept,1220,10,17,1247
Porto Alegre,42,1,1,2,acept,1770,17,26,1813
Campinas,250,3,3,2,acept,1700,256,22,1978
Campinas,48,1,1,1,acept,1600,59,21,1680
Rio de Janeiro,90,3,3,1,acept,3800,147,49,3996
Sao Paulo,45,1,2,1,acept,3900,150,50,4100
Rio de Janeiro,150,2,3,4,acept,4000,700,52,4752
Sao Paulo,60,2,1,0,acept,1445,0,19,1464
Sao Paulo,31,1,1,0,acept,2350,56,30,2436
Sao Paulo,210,4,5,4,not acept,9000,772,115,9887
Sao Paulo,280,3,1,2,acept,6000,113,91,6204
Campinas,93,2,3,2,acept,5500,133,70,5703
Porto Alegre,75,3,2,1,acept,1800,109,27,1936
Sao Paulo,194,3,4,3,acept,4000,70,61,4131
Sao Paulo,41,1,1,1,acept,4000,131,51,4182
Rio de Janeiro,65,1,1,1,acept,5100,250,66,5416
Sao Paulo,70,2,1,1,acept,2150,67,28,2245
Sao Paulo,278,4,5,2,acept,9000,1261,115,10376
Rio de Janeiro,35,1,1,0,acept,1521,21,20,1562
Campinas,300,4,4,3,acept,6000,417,77,6494
Sao Paulo,61,2,1,1,acept,1850,0,24,1874
Rio de Janeiro,130,3,2,1,acept,1700,475,22,2197
Rio de Janeiro,80,2,1,1,acept,900,90,12,1002
Sao Paulo,164,4,4,2,not acept,5000,386,64,5450
Belo Horizonte,220,4,2,3,acept,2422,125,33,2580
Sao Paulo,45,1,1,0,acept,1050,46,16,1112
Sao Paulo,108,3,2,2,acept,5600,435,71,6106
Belo Horizonte,128,1,1,0,acept,2100,182,28,2310
Rio de Janeiro,60,1,1,0,not acept,1800,48,24,1872
Sao Paulo,250,4,5,4,acept,9800,998,125,10923
Porto Alegre,47,1,1,1,not acept,2200,0,33,2233
Belo Horizonte,170,4,3,4,not acept,2700,296,36,3032
Sao Paulo,45,1,1,0,not acept,1240,0,16,1256
Sao Paulo,42,1,1,1,acept,3500,123,45,3668
Sao Paulo,164,4,4,3,acept,6000,550,77,6627
Sao Paulo,70,3,1,1,acept,1020,200,13,1233
Porto Alegre,100,4,3,1,acept,2200,159,33,2392
